1.0,debug,Enable debug logs.,false
2.0,info.*,Arbitrary properties to add to the info endpoint.,
3.0,logging.charset.console,Charset to use for console output.,
4.0,logging.charset.file,Charset to use for file output.,
5.0,logging.config,"Location of the logging configuration file. For instance, `classpath:logback.xml` for Logback.",
6.0,logging.exception-conversion-word,Conversion word used when logging exceptions.,%wEx
7.0,logging.file.name,"Log file name (for instance, `myapp.log`). Names can be an exact location or relative to the current directory.",
8.0,logging.file.path,"Location of the log file. For instance, `/var/log`.",
9.0,logging.group.*,"Log groups to quickly change multiple loggers at the same time. For instance, `logging.group.db=org.hibernate,org.springframework.jdbc`.",
10.0,logging.include-application-name,Whether to include the application name in the logs.,true
11.0,logging.level.*,"Log levels severity mapping. For instance, `logging.level.org.springframework=DEBUG`.",
12.0,logging.log4j2.config.override,Overriding configuration files used to create a composite configuration.,
13.0,logging.logback.rollingpolicy.clean-history-on-start,Whether to clean the archive log files on startup.,false
14.0,logging.logback.rollingpolicy.file-name-pattern,Pattern for rolled-over log file names.,${LOG_FILE}.%d{yyyy-MM-dd}.%i.gz
15.0,logging.logback.rollingpolicy.max-file-size,Maximum log file size.,10MB
16.0,logging.logback.rollingpolicy.max-history,Maximum number of archive log files to keep.,7
17.0,logging.logback.rollingpolicy.total-size-cap,Total size of log backups to be kept.,0B
18.0,logging.pattern.console,Appender pattern for output to the console. Supported only with the default Logback setup.,%clr(%d{${LOG_DATEFORMAT_PATTERN:-yyyy-MM-dd'T'HH:mm:ss.SSSXXX}}){faint} %clr(${LOG_LEVEL_PATTERN:-%5p}) %clr(${PID:- }){magenta} %clr(---){faint} %clr([%15.15t]){faint} %clr(%-40.40logger{39}){cyan} %clr(:){faint} %m%n${LOG_EXCEPTION_CONVERSION_WORD:-%wEx}
19.0,logging.pattern.correlation,Appender pattern for log correlation. Supported only with the default Logback setup.,
20.0,logging.pattern.dateformat,Appender pattern for log date format. Supported only with the default Logback setup.,yyyy-MM-dd'T'HH:mm:ss.SSSXXX
21.0,logging.pattern.file,Appender pattern for output to a file. Supported only with the default Logback setup.,%d{${LOG_DATEFORMAT_PATTERN:-yyyy-MM-dd'T'HH:mm:ss.SSSXXX}} ${LOG_LEVEL_PATTERN:-%5p} ${PID:- } --- [%t] %-40.40logger{39} : %m%n${LOG_EXCEPTION_CONVERSION_WORD:-%wEx}
22.0,logging.pattern.level,Appender pattern for log level. Supported only with the default Logback setup.,%5p
23.0,logging.register-shutdown-hook,Register a shutdown hook for the logging system when it is initialized. Disabled automatically when deployed as a war file.,true
24.0,logging.threshold.console,Log level threshold for console output.,TRACE
25.0,logging.threshold.file,Log level threshold for file output.,TRACE
26.0,spring.aop.auto,Add @EnableAspectJAutoProxy.,true
27.0,spring.aop.proxy-target-class,"Whether subclass-based (CGLIB) proxies are to be created (true), as opposed to standard Java interface-based proxies (false).",true
28.0,spring.application.admin.enabled,Whether to enable admin features for the application.,false
29.0,spring.application.admin.jmx-name,JMX name of the application admin MBean.,"org.springframework.boot:type=Admin,name=SpringApplication"
30.0,spring.application.name,Application name.,
31.0,spring.autoconfigure.exclude,Auto-configuration classes to exclude.,
32.0,spring.banner.charset,Banner file encoding.,UTF-8
33.0,spring.banner.location,Banner text resource location.,classpath:banner.txt
34.0,spring.beaninfo.ignore,Whether to skip search of BeanInfo classes.,true
35.0,spring.codec.log-request-details,"Whether to log form data at DEBUG level, and headers at TRACE level.",false
36.0,spring.codec.max-in-memory-size,"Limit on the number of bytes that can be buffered whenever the input stream needs to be aggregated. This applies only to the auto-configured WebFlux server and WebClient instances. By default this is not set, in which case individual codec defaults apply. Most codecs are limited to 256K by default.",
37.0,spring.config.activate.on-cloud-platform,Required cloud platform for the document to be included.,
38.0,spring.config.activate.on-profile,Profile expressions that should match for the document to be included.,
39.0,spring.config.additional-location,Config file locations used in addition to the defaults.,
40.0,spring.config.import,Import additional config data.,
41.0,spring.config.location,Config file locations that replace the defaults.,
42.0,spring.config.name,Config file name.,application
43.0,spring.info.build.encoding,File encoding.,UTF-8
44.0,spring.info.build.location,Location of the generated build-info.properties file.,classpath:META-INF/build-info.properties
45.0,spring.info.git.encoding,File encoding.,UTF-8
46.0,spring.info.git.location,Location of the generated git.properties file.,classpath:git.properties
47.0,spring.jmx.default-domain,JMX domain name.,
48.0,spring.jmx.enabled,Expose management beans to the JMX domain.,false
49.0,spring.jmx.registration-policy,JMX Registration policy.,fail-on-existing
50.0,spring.jmx.server,MBeanServer bean name.,mbeanServer
51.0,spring.jmx.unique-names,Whether unique runtime object names should be ensured.,false
52.0,spring.lifecycle.timeout-per-shutdown-phase,Timeout for the shutdown of any phase (group of SmartLifecycle beans with the same 'phase' value).,30s
53.0,spring.main.allow-bean-definition-overriding,"Whether bean definition overriding, by registering a definition with the same name as an existing definition, is allowed.",false
54.0,spring.main.allow-circular-references,Whether to allow circular references between beans and automatically try to resolve them.,false
55.0,spring.main.banner-mode,Mode used to display the banner when the application runs.,console
56.0,spring.main.cloud-platform,Override the Cloud Platform auto-detection.,
57.0,spring.main.keep-alive,Whether to keep the application alive even if there are no more non-daemon threads.,false
58.0,spring.main.lazy-initialization,Whether initialization should be performed lazily.,false
59.0,spring.main.log-startup-info,Whether to log information about the application when it starts.,true
60.0,spring.main.register-shutdown-hook,Whether the application should have a shutdown hook registered.,true
61.0,spring.main.sources,"Sources (class names, package names, or XML resource locations) to include in the ApplicationContext.",
62.0,spring.main.web-application-type,"Flag to explicitly request a specific type of web application. If not set, auto-detected based on the classpath.",
63.0,spring.mandatory-file-encoding,Expected character encoding the application must use.,
64.0,spring.messages.always-use-message-format,"Whether to always apply the MessageFormat rules, parsing even messages without arguments.",false
65.0,spring.messages.basename,"Comma-separated list of basenames (essentially a fully-qualified classpath location), each following the ResourceBundle convention with relaxed support for slash based locations. If it doesn't contain a package qualifier (such as ""org.mypackage""), it will be resolved from the classpath root.",messages
66.0,spring.messages.cache-duration,"Loaded resource bundle files cache duration. When not set, bundles are cached forever. If a duration suffix is not specified, seconds will be used.",
67.0,spring.messages.encoding,Message bundles encoding.,UTF-8
68.0,spring.messages.fallback-to-system-locale,"Whether to fall back to the system Locale if no files for a specific Locale have been found. if this is turned off, the only fallback will be the default file (e.g. ""messages.properties"" for basename ""messages"").",true
69.0,spring.messages.use-code-as-default-message,"Whether to use the message code as the default message instead of throwing a ""NoSuchMessageException"". Recommended during development only.",false
70.0,spring.output.ansi.enabled,Configures the ANSI output.,detect
71.0,spring.pid.fail-on-write-error,Fails if ApplicationPidFileWriter is used but it cannot write the PID file.,
72.0,spring.pid.file,Location of the PID file to write (if ApplicationPidFileWriter is used).,
73.0,spring.profiles.active,Comma-separated list of active profiles. Can be overridden by a command line switch.,
74.0,spring.profiles.default,Name of the profile to enable if no profile is active.,default
75.0,spring.profiles.group.*,Profile groups to define a logical name for a related group of profiles.,
76.0,spring.profiles.include,Unconditionally activate the specified comma-separated list of profiles (or list of profiles if using YAML).,
77.0,spring.quartz.auto-startup,Whether to automatically start the scheduler after initialization.,true
78.0,spring.quartz.jdbc.comment-prefix,Prefixes for single-line comments in SQL initialization scripts.,"[#, --]"
79.0,spring.quartz.jdbc.initialize-schema,Database schema initialization mode.,embedded
80.0,spring.quartz.jdbc.platform,Platform to use in initialization scripts if the @@platform@@ placeholder is used. Auto-detected by default.,
81.0,spring.quartz.jdbc.schema,Path to the SQL file to use to initialize the database schema.,classpath:org/quartz/impl/jdbcjobstore/tables_@@platform@@.sql
82.0,spring.quartz.job-store-type,Quartz job store type.,memory
83.0,spring.quartz.overwrite-existing-jobs,Whether configured jobs should overwrite existing job definitions.,false
84.0,spring.quartz.properties.*,Additional Quartz Scheduler properties.,
85.0,spring.quartz.scheduler-name,Name of the scheduler.,quartzScheduler
86.0,spring.quartz.startup-delay,Delay after which the scheduler is started once initialization completes. Setting this property makes sense if no jobs should be run before the entire application has started up.,0s
87.0,spring.quartz.wait-for-jobs-to-complete-on-shutdown,Whether to wait for running jobs to complete on shutdown.,false
88.0,spring.reactor.context-propagation,Context Propagation support mode for Reactor operators.,limited
89.0,spring.reactor.debug-agent.enabled,Whether the Reactor Debug Agent should be enabled when reactor-tools is present.,true
90.0,spring.reactor.netty.shutdown-quiet-period,Amount of time to wait before shutting down resources.,
91.0,spring.ssl.bundle.jks.*,Java keystore SSL trust material.,
92.0,spring.ssl.bundle.pem.*,PEM-encoded SSL trust material.,
93.0,spring.ssl.bundle.watch.file.quiet-period,"Quiet period, after which changes are detected.",10s
94.0,spring.task.execution.pool.allow-core-thread-timeout,Whether core threads are allowed to time out. This enables dynamic growing and shrinking of the pool.,true
95.0,spring.task.execution.pool.core-size,Core number of threads.,8
96.0,spring.task.execution.pool.keep-alive,Time limit for which threads may remain idle before being terminated.,60s
97.0,spring.task.execution.pool.max-size,"Maximum allowed number of threads. If tasks are filling up the queue, the pool can expand up to that size to accommodate the load. Ignored if the queue is unbounded.",
98.0,spring.task.execution.pool.queue-capacity,"Queue capacity. An unbounded capacity does not increase the pool and therefore ignores the ""max-size"" property.",
99.0,spring.task.execution.shutdown.await-termination,Whether the executor should wait for scheduled tasks to complete on shutdown.,false
100.0,spring.task.execution.shutdown.await-termination-period,Maximum time the executor should wait for remaining tasks to complete.,
101.0,spring.task.execution.simple.concurrency-limit,Set the maximum number of parallel accesses allowed. -1 indicates no concurrency limit at all.,
102.0,spring.task.execution.thread-name-prefix,Prefix to use for the names of newly created threads.,task-
103.0,spring.task.scheduling.pool.size,Maximum allowed number of threads.,1
104.0,spring.task.scheduling.shutdown.await-termination,Whether the executor should wait for scheduled tasks to complete on shutdown.,false
105.0,spring.task.scheduling.shutdown.await-termination-period,Maximum time the executor should wait for remaining tasks to complete.,
106.0,spring.task.scheduling.simple.concurrency-limit,Set the maximum number of parallel accesses allowed. -1 indicates no concurrency limit at all.,
107.0,spring.task.scheduling.thread-name-prefix,Prefix to use for the names of newly created threads.,scheduling-
108.0,spring.threads.virtual.enabled,Whether to use virtual threads.,false
109.0,trace,Enable trace logs.,false
110.0,spring.cache.cache-names,"Comma-separated list of cache names to create if supported by the underlying cache manager. Usually, this disables the ability to create additional caches on-the-fly.",
111.0,spring.cache.caffeine.spec,The spec to use to create caches. See CaffeineSpec for more details on the spec format.,
112.0,spring.cache.couchbase.expiration,Entry expiration. By default the entries never expire. Note that this value is ultimately converted to seconds.,
113.0,spring.cache.infinispan.config,The location of the configuration file to use to initialize Infinispan.,
114.0,spring.cache.jcache.config,The location of the configuration file to use to initialize the cache manager. The configuration file is dependent of the underlying cache implementation.,
115.0,spring.cache.jcache.provider,Fully qualified name of the CachingProvider implementation to use to retrieve the JSR-107 compliant cache manager. Needed only if more than one JSR-107 implementation is available on the classpath.,
116.0,spring.cache.redis.cache-null-values,Allow caching null values.,true
117.0,spring.cache.redis.enable-statistics,Whether to enable cache statistics.,false
118.0,spring.cache.redis.key-prefix,Key prefix.,
119.0,spring.cache.redis.time-to-live,Entry expiration. By default the entries never expire.,
120.0,spring.cache.redis.use-key-prefix,Whether to use the key prefix when writing to Redis.,true
121.0,spring.cache.type,"Cache type. By default, auto-detected according to the environment.",
122.0,spring.mail.default-encoding,Default MimeMessage encoding.,UTF-8
123.0,spring.mail.host,"SMTP server host. For instance, 'smtp.example.com'.",
124.0,spring.mail.jndi-name,"Session JNDI name. When set, takes precedence over other Session settings.",
125.0,spring.mail.password,Login password of the SMTP server.,
126.0,spring.mail.port,SMTP server port.,
127.0,spring.mail.properties.*,Additional JavaMail Session properties.,
128.0,spring.mail.protocol,Protocol used by the SMTP server.,smtp
129.0,spring.mail.test-connection,Whether to test that the mail server is available on startup.,false
130.0,spring.mail.username,Login user of the SMTP server.,
131.0,spring.sendgrid.api-key,SendGrid API key.,
132.0,spring.sendgrid.proxy.host,SendGrid proxy host.,
133.0,spring.sendgrid.proxy.port,SendGrid proxy port.,
134.0,spring.gson.date-format,Format to use when serializing Date objects.,
135.0,spring.gson.disable-html-escaping,"Whether to disable the escaping of HTML characters such as '<', '>', etc.",
136.0,spring.gson.disable-inner-class-serialization,Whether to exclude inner classes during serialization.,
137.0,spring.gson.enable-complex-map-key-serialization,Whether to enable serialization of complex map keys (i.e. non-primitives).,
138.0,spring.gson.exclude-fields-without-expose-annotation,"Whether to exclude all fields from consideration for serialization or deserialization that do not have the ""Expose"" annotation.",
139.0,spring.gson.field-naming-policy,Naming policy that should be applied to an object's field during serialization and deserialization.,
140.0,spring.gson.generate-non-executable-json,Whether to generate non-executable JSON by prefixing the output with some special text.,
141.0,spring.gson.lenient,Whether to be lenient about parsing JSON that doesn't conform to RFC 4627.,
142.0,spring.gson.long-serialization-policy,Serialization policy for Long and long types.,
143.0,spring.gson.pretty-printing,Whether to output serialized JSON that fits in a page for pretty printing.,
144.0,spring.gson.serialize-nulls,Whether to serialize null fields.,
145.0,spring.jackson.constructor-detector,"Strategy to use to auto-detect constructor, and in particular behavior with single-argument constructors.",default
146.0,spring.jackson.datatype.enum.*,Jackson on/off features for enums.,
147.0,spring.jackson.datatype.json-node.*,Jackson on/off features for JsonNodes.,
148.0,spring.jackson.date-format,"Date format string or a fully-qualified date format class name. For instance, 'yyyy-MM-dd HH:mm:ss'.",
149.0,spring.jackson.default-leniency,Global default setting (if any) for leniency.,
150.0,spring.jackson.default-property-inclusion,Controls the inclusion of properties during serialization. Configured with one of the values in Jackson's JsonInclude.Include enumeration.,
151.0,spring.jackson.deserialization.*,Jackson on/off features that affect the way Java objects are deserialized.,
152.0,spring.jackson.generator.*,Jackson on/off features for generators.,
153.0,spring.jackson.locale,Locale used for formatting.,
154.0,spring.jackson.mapper.*,Jackson general purpose on/off features.,
